,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Principal Data Scientist,$71K-$116K (Glassdoor est.),"Technology. Flexibility. Diversity. At the center of it all are the Digital Accelerator and Advanced Analytics teams at Cummins, working together as a high-energy startup within a Fortune 500 organization. At this Midwestern technology hub, today’s sharpest, most curious minds transform what-ifs into realities.

#LifeAtCummins is about POWERING YOUR POTENTIAL .You’ll have global opportunities to develop your career and make your community a better place - to break ground professionally and be your best personally.

About Digital Accelerator and Advanced Analytics:

Cummins' Digital Accelerator functions as our own tech startup, with strategic access to Fortune 150 resources and talents. Steering the innovation of new experiences for customers, Digital Accelerator is boldly transforming Cummins into a modern and agile technology company. Through the conception, build and launch of inspiring digital solutions, the unique hub of vision and creativity leverages open architecture, connectivity, big data, advanced analytics, internet-of-things, edge computing and more, to drive the company forward on its journey towards smart technologies.

This is an exciting opportunity in Columbus, IN for a Principal Data Scientist. This is an active business facing role where you will work and collaborate with teams to solve problems in a results, customer centric environment.

Your impact will happen in these and other ways:

Manages and Implements advanced analytics projects which solve complex analytical problems using quantitative approaches through a combination of analytical, mathematical and technical skills.
Researches, designs, implements and validates cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes by leveraging complex statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques.
Liaises with business stakeholders and leverages business knowledge to industrialize and monetize insights from advanced analytics projects.
Leads key objectives and business goals through the use of data science methodology.
Leverages data science methodology to solve complex business problems.
Creates algorithms using more complex statistical methodologies through the use of statistical programming languages and tools.
Partners with domain experts to verify model capabilities and translate modeling outputs from statistical inferences into business language.
Partners with Solution Architect to enable appropriate data flow/data model, development using appropriate tools/technology, rapid prototyping and informs the design of analytical products.
Trains and mentors less experienced employees on data science tools and methodologies.
Continuous development and advancement of the organization through knowledge sharing and collaboration.
Participates in planning for advancement of the Data Science profession.

Qualifications

Experience:

Significant experience in a relevant discipline area is required with a demonstrated track record of analyzing complex business systems and large data sets. Knowledge of the latest technologies and trends in data science is highly preferred and includes:

Familiarity analyzing complex business systems, industry requirements, and/or data regulations
Background in processing and managing large data sets
Applied knowledge of big data, open source and third party toolsets
SQL query language
Clustered compute cloud-based implementation experience
Experience in building analytical solutions
Experience coaching on implementation of machine learning solutions

Significant experiences in the following are preferred:

Designing and implementing Big Data platform solutions using open source and third-party tools
Microsoft Azure and/or Amazon Web services environment
Experience in Agile software development
Familiarity with validation and testing of machine learning systems
Familiarity with Continuous Integration and Continuous Delivery (CI/CD)

Manage the analytics technical road map in collaboration with supported delivery partners
Design analytics solution approach in collaboration with delivery partners
Provide design direction and technical guidance to developments teams
Oversee in-use model performance and corrective action
Manage activities of a small team of employees

Skills

Programming - Creates, writes and tests computer code, test scripts, and build scripts using algorithmic analysis and design, industry standards and tools, version control, and build and test automation to meet business, technical, security, governance and compliance requirements.

Data Mining - Extracts insights from data by identifying relationships and patterns through use of a suite of data exploration and data visualization techniques to understand the underlying structure of the data and enable sound conclusions upon model building.

Predictive Modeling - Develops analytical or machine learning models by using appropriate variable transformations, feature selection strategies, imputation strategies, class rebalancing, resampling strategies and quality control measures to generate predictive insights used in solving business questions.

Statistical Modeling - Develops descriptive and explanatory statistical models, and simulations for regression, classification, outlier detection, anomaly detection, time series forecasting using knowledge of foundational statistics such as null hypotheses significance tests, regression models, generalized linear modeling, time series analysis, rank statistics, probability distribution fitting survival analysis, etc. to validate hypotheses for any given statistical or business question.

Problem Solving - Solves problems using a systematic analysis process by leveraging industry standard methodologies to create problem traceability and protect the customer; determines the assignable cause; implements robust, data-based solutions; identifies the systemic root causes and recommended actions to prevent problem reoccurrence.

Requirements Analysis - Evaluates relationships and interdependencies between requirements based upon their complexity and value to the business in order to determine feasibility and prioritization.

Strategic Roadmap Planning - Produces a high-level, multi-year product and capability roadmap utilizing internal and external business resource, asset and market knowledge and experience to communicate the organization's focus and priorities to internal and external stakeholders.

Tech savvy - Anticipating and adopting innovations in business-building digital and technology applications.

Manages complexity - Making sense of complex, high quantity, and sometimes contradictory information to effectively solve problems.

Collaborates - Building partnerships and working collaboratively with others to meet shared objectives.

Develops talent - Developing people to meet both their career goals and the organization’s goals.

Communicates Effectively - Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences.

Education, Licenses, Certifications

College, university or equivalent degree or equivalent work experience in relevant technical discipline is required.
This position may require licensing for compliance with export controls or sanctions regulations.

Compensation and Benefits

Base salary rate commensurate with experience. Additional benefits vary between locations and include options such as our 401(k) Retirement Savings Plan, Cash Balance Pension Plan, Medical/Dental/Life Insurance, Health Savings Account, Domestic Partners Coverage and a full complement of personal and professional benefits.

Cummins and E-verify

At Cummins, we are an equal opportunity and affirmative action employer dedicated to diversity in the workplace. Our policy is to provide equal employment opportunities to all qualified persons without regard to race, gender, color, disability, national origin, age, religion, union affiliation, sexual orientation, veteran status, citizenship, gender identity and/or expression, or other status protected by law. Cummins validates right to work using E-Verify. Cummins will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization.

Ready to think beyond your desk? Apply for this opportunity to start your career with Cummins today.careers.cummins.com

Not ready to apply but want to learn more? Join our Talent Community to get the inside track on great jobs and confidentially connect to our recruiting team: https://www.cumminstalentcommunity.com/profile/join/

#DAAAI

Job
SYSTEMS/INFORMATION TECHNOLOGY
Primary Location
United States-Indiana-Columbus-US, IN, Columbus, Sears Building
Job Type
Experienced - Exempt / Office
Recruitment Job Type Exempt - Experienced
Job Posting
Jul 23, 2020, 6:42:21 PM
Unposting Date
Ongoing",3.9,"Cummins Inc.
3.9","Columbus, IN",-1,10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
1,Data Scientist 1,$71K-$116K (Glassdoor est.),"At NGL, we strive to make data-driven decisions for our internal and external customers. We endeavor to utilize advanced analytic tools and processes to help NGL use data as an asset. To help advance us even further, we’re searching for a Data Scientist to join our team. The ideal candidate will be responsible for performing complex analyses, creating advanced visualizations, applying advanced predictive analytics and machine learning techniques, and structuring data in an optimal format for NGL.

Perform advanced analytics using predictive modeling, machine learning, and other advanced techniques.
Builds large and complex information sets using both unstructured and structured data.
Provides detailed insights to others on issues.
Use data driven insights to recommend opportunities for growth, competitiveness, and profitability.
Builds creative visualizations that tell a story.
Effectively communicate results of advanced analytics to both technical and non- technical audiences.
Recommend and develop new metrics to advance decision making.
Provides leadership, coaching, and/or mentoring to others.
Share ownership of the solution deployment, testing, quality, monitoring, and operational excellence with the rest of the agile team
Participate in regular team and stakeholder meetings
Continually develop skill sets and abilities to keep them relevant, current, and applicable to NGL's current and future needs.
Follow data science development life cycle and quality assurance best practices and governance
Perform other duties and responsibilities as needed

Critical thinking, analytical, and problem solving skills; strong technical and non-technical communication (verbal, written, listening) and interpersonal skills; highly detail oriented; ability to work independently and in a team; excellent time and priority management; proven abilities to take initiative and be innovative; working knowledge of Scrum
Required Proficiencies:
Ability to lead multiple projects while providing effective input and briefing senior leaders.
Strong problem-solving abilities.
Ability and willingness to learn and extend skills and mentor others.
Strong oral and written communication skills.
Experience in statistical modeling, machine learning, and other advanced techniques.
Experience building structured and unstructured data sets together.
Experience creating visualizations in Tableau, PowerBI, or other similar BI tool.",3.2,"National Guardian Life Insurance Company
3.2","Madison, WI",-1,201 to 500 Employees,1909,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
2,Data Engineer,$71K-$116K (Glassdoor est.),"At Alteryx, Inc., we live for the thrill and delight that happens when we help free the world’s thinkers to innovate in new ways. As you spend half of your waking hours at work, we make sure that time is spent pushing limits and fueling remarkable business outcomes for our customers. Our culture empowers associates to make a difference every day, as they collaborate with their colleagues to implement the Alteryx platform to achieve heart-pounding, fist-pumping moments of insight, preparing the new workforce for the jobs of the future.

Overview:

As a Data Engineer on the Alteryx Data Science team, you will be part of an innovative and groundbreaking team, being primarily responsible for engineering a world class enterprise data management platform and driving continuous improvement for a world class analytics company. You will work closely with data architects, other data engineers, data scientists, and line of business associates to build out new system features/functionality and help bring thoughtfully curated data system and products to the Alteryx organization. Success in this role is critical to our mission of becoming a world-class Data Science team and fostering Alteryx’s Data Science journey!
** The company will not provide sponsorship for work visas or other employment authorization for this position. ***
Position details/requirements:

Build, test, monitor and maintain a highly scalable data management ecosystem
Execute architected techniques and solutions for data collection, management and usage
Take business requirements and produce data sets for efficient cross-business analysis
Extreme focus on detail and data quality validation
Deep interest in the data and analytics market with ability to constantly evaluate new ways to enhance the telemetry system and train it to be smarter and more scalable

Qualifications:

3+ years of data engineering / development / integration experience
Experience with SQL required
Experience with Alteryx platform preferred, but not required
Experience with Enterprise Data Warehouse development and ETL processes
Knowledge of at least one modern scripting language (Python, R, etc.)
Understanding of cloud infrastructure
Experience with automated software testing and deployment
Ability to work with geographically distributed teams
Ability to work with other teams across an organization
Strong oral and written communication
BA/BS degree in Information Science, Data Analytics, Computer Science, Software Engineering or related technical field

#LI-JE1",3.6,"Alteryx, Inc.
3.6","Ann Arbor, MI",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
3,Data Scientist,$71K-$116K (Glassdoor est.),"Job Description

The Data Scientist is responsible for leading the design, development, and implementation of advanced quantitative models to evaluate the ITSM environment and to inform a variety of strategic and tactical business decisions. The Data Scientist works collaboratively across the service delivery teams and MSI to build and drive recommendations that translate into practical, measurable actionable insight and process improvements.

What You’ll Get to Do:
Builds queries to monitor the IT Service Delivery environment to analyze demand, usage, and performance
Uses data analytics to provide actionable, timely and accurate reporting to improve service delivery, infrastructure management and proactive problem and incident management.
Works with the Service Providers, retained IT, and management teams to identify and monitor process performance and service provider performance
Lead Technical Exchange Meeting related to data structure, quality assurance, and reporting
Apply the various reporting and presentation tools to provide analysis and recommendations
Evaluate, analysis and interpret data to develop recommendations for service and process improvement
Lead a team of data analysts to identify, analyze, and interpret trends or patterns in complex data sets
Define and deliver a solution to clean-up data and provide the appropriate level of data hygiene
Analyze complex data schema (tables, reference, relationships) from multiple data sources/platforms
Define new data collection and analysis processes
Design and develop approaches leading to data automation, integration processes, and improvements
Normalize and redesign existing data schema according to requirements, business direction, and commercial best practices

You’ll Bring These Qualifications:
Minimum of 5 years’ experience in the designing data models and conducting statistical data analysis, data manipulation, data visualization, and value modeling and simulations
B.S. in Mathematics, Computer Science or Engineering
A strong understanding of IT Service Management delivery
Experience developing and implementing data dashboards, data automation, and reporting systems to convert data into actionable information
Strong problem solving, quantitative and analytical abilities
Significant experience with conceptual, logical and physical data modeling
ITIL Foundations certification
Excellent communication skills effectively translating data analysis concepts to a business audience
TS/SCI with Poly

These Qualifications Would be Nice to Have:
M.S. in Statistics, Data Analysis or Information Technology
Experience with the ServiceNow toolset
Hands-on knowledge working with modeling tools: Tableau, Lime Survey, Strata, VBA, and SPSS
ITIL Intermediate Certifications

BITS3
allspark

What We Can Offer You:
We’ve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.
For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.
Job Location
US-Chantilly-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.7,"CACI
3.7","Chantilly, VA",-1,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
4,Data Scientist Virtual Hiring Event,$71K-$116K (Glassdoor est.),"GEODIS Hiring Event! Offers on the Spot!

Event Details
Date: Thursday, October 1, 2020

What We're Hiring For

Accounts Payable Manager

Accounts Payable Coordinator

Marketing Analyst Demand & Lead Generator

Sr. DC Design Engineer

DC Design Engineer

ETL Developer II

Data Scientist

Sr. Developer - MDM

Sr. Engineer Infrastructure Developer Operations

IT Director WMS Implementation

Developer II - .Net

Intake Details:

Requirements

High School Diploma

What to bring to this event

An electronic copy of your resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Business (business suit, tie)

About Geodis

GEODIS is a global third-party logistics provider (3PL for short) powering the supply chains of some of the top brands and manufacturers. We are over 40,000 employees strong, with locations in over 120 countries, and 70M square feet of warehousing globally.

In other words, if you’re looking for a career in a fast-growing industry (90% of Fortune 500 companies now work with 3PLs), joining GEODIS ensures you’re also with one of the fastest growing companies in the industry.

Whether you are located in one of our warehouses, one of our regional offices, or from the Americas headquarters in Nashville, Tennessee, put your career on the right track – and on the map – with GEODIS.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

The Data Scientist ensures that the data assets of the organization are supported by its information technology architecture. The Data Scientist is responsible for developing predictive and prescriptive analytics models, creating efficient algorithms, and innovating use of data. The Data Scientist will work closely with the rest of the operations teams, IT, and internal business partners to identify, evaluate, design, and implement statistical analyses and data exploration/visualization of internal and external, structured and unstructured, public and proprietary data.",3.1,"Geodis
3.1","Brentwood, TN",-1,10000+ Employees,1904,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD),-1
5,Medical Laboratory Scientist or Medical Lab Tech / Lab Core,$71K-$116K (Glassdoor est.),"We’re searching for a Medical Laboratory Scientist, performs patient laboratory testing, instrument calibration, maintenance troubleshooting, quality control testing, and equipment function verification in the areas of Hematology, Microscopy, Coagulation, Chemistry, Microbiology, Virology and Serology. Reports and interprets laboratory test results. Advises and consults with the Medical Staff, nursing staff, and laboratory staff.

ESSENTIAL FUNCTIONS

Performs laboratory tests on patient specimens in the areas of Hematology, Chemistry, Microscopy, Coagulation, Microbiology, Virology and Serology to assist in identifying medical disorders and to monitor ongoing patient therapy.
Utilizes LIS for reporting patient results, documenting quality control and distribution of data.
Checks instrument calibration and reagent reactivity by assaying quality control specimens to assure accurate patient test results.
Evaluates results of patient testing, quality control and survey testing, takes appropriate action to prevent compromises in patient care.
Participates throughout the calendar year in proficiency testing.
Performs troubleshooting, function checks and maintenance procedures to keep equipment and instruments in proper working order.
Maintains adequate inventory levels and stocking of supplies and reagents.
Supports new staff in training as necessary.
Prepares specimens to be sent to referral laboratories and reports test results as they are returned.
Consults with physicians, nurses and other healthcare professionals concerning requested services and test results.
Performs the duties of Charge Technologist as stated in the Policies and Procedures Manual when assigned.

KNOWLEDGE, SKILLS AND ABILITIES

Ability to communicate effectively both verbally and in writing.

EDUCATION AND EXPERIENCE

Bachelor’s degree from an accredited college or university in Medical Laboratory Science or related science, which includes a one-year internship in an approved clinical laboratory required.

CERTIFICATIONS/LICENSURE REQUIREMENTS

Current and valid Medical Laboratory Scientist (MLS) or equivalent certification with the American Society of Clinical Pathology or other equivalent certifying agency required, within 6 months of hire.

EOE/Vets/Disabled

ref 9809

We’re searching for a Medial Lab Technician, under the direction of a Medical Laboratory Scientist, Laboratory Supervisor or Charge Tech performs patient laboratory testing, instrument calibration, maintenance troubleshooting, quality control testing, and equipment function verification in the areas of Hematology, Microscopy, Coagulation, Chemistry, Microbiology, Virology and Serology. Reports and interprets laboratory test results. Advises and consults with the Medical Staff, nursing staff, and laboratory staff.

Essential Functions

· Under direction of a Medical Technologist, Laboratory Supervisor or Charge Tech, performs laboratory tests on patient specimens in the areas of Hematology, Chemistry, Microscopy, Coagulation, Microbiology, Virology and Serology to assist in identifying medical disorders and to monitor ongoing patient therapy.

· Utilizes LIS for reporting patient results, documenting quality control and distribution of data.

· Following the guidance of a Medical Technologist, Laboratory Supervisor or Charge Tech, checks instrument calibration and reagent reactivity by assaying quality control specimens to assure accurate patient test results.

· With oversight of a Medical Technologist, Laboratory Supervisor or Charge Tech, evaluates results of patient testing, quality control and survey testing, takes appropriate action to prevent compromises in patient care.

· Participates throughout the calendar year in proficiency testing.

· Performs troubleshooting, function checks and maintenance procedures to keep equipment and instruments in proper working order

· Maintains adequate inventory levels and stocking of supplies and reagents.

· Supports new staff in training as necessary.

· Obtains blood specimens from patients using standardized capillary or venipuncture procedures as ordered by the physician.

· Consults with physicians, nurses and other healthcare professionals concerning requested services and test results.

Performs other duties as assigned
KNOWLEDGE, SKILLS AND ABILITIES
Ability to communicate effectively both verbally and in writing.

EDUCATION AND EXPERIENCE
Associate’s degree from an accredited college or university in Medical Laboratory or related science required.

CERTIFICATIONS/LICENSURE REQUIREMENTS

Current and valid Medical Laboratory Technician certification with the American Society of Clinical Pathology or other equivalent certifying agency required, within 6 months of hire.

EOE/Vets/Disabled
About Children's Hospital

When you work at Children’s, you’re part of a treasured place of healing in the Omaha community—and beyond. Join our team of highly engaged, caring professionals who believe deeply in the organization’s mission—to improve the life of every child. We support equity, diversity and inclusion, and as you apply your skills and expertise to helping children, you too will have opportunities to grow your career. In 2021, we’ll open the new Hubbard Center for Children, tripling our capacity to serve children.

When children are your everything, anything can be…",3.6,"Children's Hospital & Medical Center
3.6","Omaha, NE",-1,1001 to 5000 Employees,1948,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
6,Medical Lab Scientist Virtual Hiring Event,$71K-$116K (Glassdoor est.),"DHR Health Hiring Event! Offers on the Spot!

Event Details
Date: Friday, October 2, 2020

What We're Hiring For

Certified Nursing Assistant

Registered Nurse - Critical Care Areas

Registered Nurse - Non-Critical Care Areas

Medical Lab Scientist

Respiratory Therapist

Radiology Technologist

Intake Details:

Requirements

Hospital/Healthcare experience preferred

Relevant License/Certification dependent on position

Technical requirements

After RSVPing, you will be sent and email with connection instructions. Please be prepared to join the virtual meeting in a quiet place from a desktop/mobile device with a speaker, microphone, and web camera. Check that your network connection is stable to help avoid time delays in your interview.

What to bring to this event

An electronic copy of your resume

Any required certifications/licenses

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About DHR Health

Our MISSION is to improve the well-being of those we serve with a commitment to excellence: every patient, every encounter, every time.

Our VISION is to create a world class health system to advance medicine and increase access for the communities we serve by empowering caregivers to heal through compassion, knowledge, innovation, integrated care and excellence

DHR CARES
C- Compassion
A - Accountability
R - Responsibility
E - Excellence through Knowledge
S - Safety and Social Conscience

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

POSITION SUMMARY:

Provide services to meet the needs of patients as ordered by medical staff and performed in accordance with accepted standards and practices. This individual will perform technical functions and activities in the laboratory including, maintenance, quality control and training for highly sophisticated instrumentation and laboratory equipment use of chemicals and related supplies used in the testing process. Collects and collates data for Quality Assurance studies. Coordinates/leads work team. Sets up new equipment and/or writes procedures. Oversees work of, Lab Assistants and Phlebotomists.

POSITION EDUCATION/QUALIFICATIONS:

Bachelor's degree in Clinical Laboratory Science or Applied Sciences (required)
Certification as a Medical Laboratory Scientist by the American Society of Clinical Pathologists (ASCP) or equivalent specialty certification (required)
No experience required

JOB KNOWLEDGE/EXPERIENCE­:

Proficient knowledge of clinical laboratory process, testing and analytical procedures and techniques, and various specialized laboratory equipment of the assigned laboratory unit.
Excellent customer service",3.2,"DHR Health
3.2","Edinburg, TX",-1,5001 to 10000 Employees,1997,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
7,Senior Scientist,$71K-$116K (Glassdoor est.),"Position Title: Senior Scientist*
Location: Menlo Park, California*
About Akoya Biosciences, Inc*.
Akoya Biosciences, Inc., The Spatial Biology Company™, with offices in Menlo Park, CA and Marlborough, MA is a well-funded and emerging growth company that is developing powerful imaging tools to enable scientists and clinical researchers to gain a better understanding of complex diseases such as cancer and autoimmune disorders. Our CODEX® platform, spun out of the lab of Dr. Garry Nolan at Stanford University, enables the assessment of more than 40 protein markers in a sample and is ideally suited for biomarker discovery. Our Phenoptics™ platform, the industry standard for multiplex IF/IHC provides the assay robustness and throughput necessary for translational and clinical research required in clinical trials. Our partnerships with the academic community and our customers have resulted in a robust pipeline of future products.
Position Summary: *
The position of Senior Scientist is responsible for developing applications related to the CODEX® technology. This position involves working with a team of other scientists and research associates to lead efforts related to antibody panel development. Expertise in immunohistochemistry, fluorescence microscopy and immunology or immune oncology are required. Additionally, knowledge of qualitative and quantitative tissue-based analysis methods is recommended. A high attention to detail and quality standards are required to be successful in this role. This position is part of the reagent development group within the Research and Development department and will work closely across other groups within R&D as well as other departments. The ideal candidate should have multiple years of experience in this industry as well as experience leading project and/or team efforts.
Key Responsibilities: *
Drive execution of core company research strategy
Design and perform experiments related to expanding antibody capabilities of the CODEX® technology
Develop antibody-based CODEX® products through analysis of tissue-based data
Perform image-based data analysis
Analyze high parameter tissue data to infer biological meaning
Qualifications: *
PhD in biological sciences is required*
At least 5 years of experience in the biotech/pharmaceutical industry leading projects and performing laboratory research.
Broad technical expertise and a desire to work in a laboratory focused role
Immunohistochemistry, Immunofluorescence experience.
Oligonucleotide-based technology development, Antibody Conjugations/Antibody-based assays
Fluorescence Microscopy experience, Quantitative Image Analysis
Excellent written and verbal communication skills
Solid organizational skills including attention to detail and multi- tasking skills.
Experienced at managing/directing the research efforts of others
Job Type: * Full-time
Job Type: Full-time

Benefits:
401(k)
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Location:
Menlo Park, CA 94025 (Required)
Work authorization:
United States (Required)
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
www.akoyabio.com
Work Remotely:
Temporarily due to COVID-19",3.8,"Akoya Biosciences
3.8","Menlo Park, CA",-1,51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),-1
8,Environmental Scientist,$71K-$116K (Glassdoor est.),"Spangler Environmental, Inc. is a consulting firm serving land developers, engineers, architects, attorneys and governmental agencies across the Southeast U.S. We are looking for a qualified candidate to join our team as an Environmental Scientist.
The primary responsibilities of the Environmental Scientist: *
Perform site evaluations and write reports for Phase 1 Environmental Site Assessments per ASTM E1527-13.
Perform Property Condition Assessments. May perform ACM inspections if properly accredited.
Perform GPS field data collection for sketch map preparation. Experience with Trimble hand-held GPS data collectors is preferred.
Identify, evaluate and recommend risk and remediation strategies to ensure compliance with federal, state and local regulations.
Environmental due diligence, Phase II site assessments, regulatory compliance services, and permitting
Utilize professional and field experience to prepare well-written technical reports, letters, memoranda, email communications, plans, specifications, and proposals.
Data analysis, including preparing maps, tables, and figures; and
Gather, organize and evaluate field data for use in written reports.
Operate and maintain field monitoring equipment
Prepare material samples or documents for lab testing and analysis.
Requirements/Qualifications*
Bachelor’s degree in an environmental or related field of study required
Minimum 5 years of experience in private sector environmental consulting on land development projects
Minimum of 2 years of relevant experience successfully leading multiple team members and managing multiple projects, within client, schedule and budget constraints.
EP status per the ASTM standard preferred.
Must be able to work independently outdoors in variable weather and site conditions.
Proficient in soil and groundwater sample collection
Knowledge and experience in basic computing skills including Microsoft Office and ArcGIS.
Full-time position based in NC. Frequent travel to project sites in the Southeastern US, occasionally overnight, is required
Must possess valid driver’s license with a clean driving record.
Full-time position with benefits. Some travel, possibly overnight, required occasionally. Must be able to work outdoors in variable weather and site conditions. Apply online at www.spanglerenvironmental.com/careers

Job Type: Full-time

Benefits:
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Experience:
environmental project management: 2 years (Required)
environmental consulting: 5 years (Required)
Education:
Bachelor's (Required)
Location:
Raleigh, NC 27609 (Required)
License:
Driver's License (Required)
EP (Preferred)
Required travel:
25% (Required)
Work Location:
One location
Company's website:
www.spanglerenvironmental.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",-1,"Spangler Environmental, Inc.","Raleigh, NC",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
9,Data Scientist,$71K-$116K (Glassdoor est.),"Type of Requisition:

Regular

Clearance Level Must Currently Possess:

Top Secret/SCI

Clearance Level Must Be Able to Obtain:

Top Secret/SCI

Suitability:

No Suitability Required

Public Trust/Other Required:

None

Job Family:

Data Science

Job Description:

This position is NOT yet funded Our Intelligence & Homeland Security team has a exciting new opportunity for a Mid-Level Data Scientist to provide on-site data science support to advance Latin America and Global drug trend analyses in support of the Consolidated Counterdrug Database (CCDB).

Additional responsibilities will include:

Data entry into the digital foundation in counter-narcotics data Artificial Intelligence ( AI), Machine Learning (ML), data mining algorithms, probability modeling, and other scientific techniques to correlate complex, technical findings into graphical, written, visual and verbal narrative products on trends of intelligence information
Apply technical expertise to leverage in-house tools such as Rand Python scripts to generate insights into existing data stores, to include CCDB
Employ deep knowledge of existing and emerging "" big data"" processing tools and techniques useful in delivering strategic insights to policy makers in the counterdrug mission
Identify new classified and unclassified data stores of massive size and relevance to the counter-narcotics mission to enhance CCDB data enrichment efforts or provide unique analytic insights into counterdrug issues
Engage in exploratory analysis and rapid iteration techniques of large volumes of data to quickly derive intelligence. Prepares products to describe and document findings and activities
Identify and evaluate a wide range of existing methods, models, and algorithms to develop more accurate and/or objective quantitative analysis approaches for CCDB data completeness, accuracy and consistency. Clearly articulate opportunities, risks and assumptions with applied methodologies. Communicate findings to a wide variety of customers, in both written and verbal formats; ability to communicate complex information in laymen's terms
Participate in special projects / surge support as required

Basic Qualifications:

Bachelor's Degree with a minimum of 8 years of related experience, with at least a portion of the experience in the past 2 years
TS/SCI with Poly. Or, the ability to obtain a Poly.

Scheduled Weekly Hours:

40

Travel Required:

Less than 10%

Telecommuting Options:

Telecommuting Not Allowed

Work Location:

USA DC Washington

Additional Work Locations:

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.6,"General Dynamics
3.6","Washington, DC",-1,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),-1
